District,Latitude,Longitude,Month,Month1,Year,Monthly_cases,X21,X22,X23,X24,X25,X26,X27,X28,X29,X210,X211,X212,X213,X214,X215,X216,X217,X218,X219,X220,X221,,,,,,,,,,
Magura,21.5641,92.0208,January,1,2022,0,22.42,14.15,30.56,77.19,0.09,101.28,485.51,954804,18.2,73.69,1.2,4.04,99,84.022752,626.6378652,0.90 ,5.5,52,1048.764435,69.11619818,740.2124115,,,,,,,,,,
Manikganj,21.5641,92.0208,January,1,2022,0,20.5,15.59,26.29,73.49,0.76,101.4,485.51,1447301,18.2,73.69,1.2,4.04,99,127.362488,949.8636463,0.90 ,5.5,52,1374.276723,90.56827174,969.957269,,,,,,,,,,
Meherpur,23.4576,91.1809,January,1,2022,0,17.29,8.4,25.32,78.56,0.87,101.36,460.2,1994252,18.7,74.66,1,4.04,99,175.494176,1308.827588,0.90 ,5.5,52,2678.809912,176.5402702,1890.689918,,,,,,,,,,
Moulvibazar,23.4576,91.1809,January,1,2022,0,22.42,14.15,30.56,77.19,0.09,101.43,485.51,681331,18.2,73.69,1.2,5.25,99,59.957128,447.1575353,0.90 ,5.5,52,722.524676,47.61618245,509.9541086,,,,,,,,,,
Munshiganj,23.4576,91.1809,January,1,2022,0,20.5,15.59,26.29,73.49,0.76,101.43,485.51,1502449,18.2,73.69,1.2,4.04,99,132.215512,986.0572787,0.90 ,5.5,52,932.678817,61.46586572,658.2797938,,,,,,,,,,
Mymensingh,23.8105,90.3372,January,1,2022,1,17.29,8.4,25.32,78.56,0.87,101.2,460.2,5313163,18.7,74.66,1,4.39,99,467.558344,3487.028877,0.90 ,5.5,52,4348.480093,286.5757092,3069.134333,,,,,,,,,,
Naogaon,23.8105,90.3372,January,1,2022,0,22.42,14.15,30.56,77.19,0.09,100.76,460.2,2701906,18.7,74.66,1,4,99,237.767728,1773.260908,0.90 ,5.5,52,3443.903078,226.9618225,2430.688643,,,,,,,,,,
Narail,23.8105,90.3372,January,1,2022,0,20.5,15.59,26.29,73.49,0.76,100.48,460.2,750425,18.7,74.66,1,4.04,99,66.0374,492.5039275,0.90 ,5.5,52,995.7435635,65.62199017,702.7905595,,,,,,,,,,
Narayanganj,25.6279,88.6332,January,1,2022,0,17.29,8.4,25.32,78.56,0.87,100.2,460.2,3074078,18.7,74.66,1,4.04,99,270.518864,2017.517391,0.90 ,5.5,52,703.5466906,46.36548576,496.5595465,,,,,,,,,,
Narsingdi,25.6279,88.6332,January,1,2022,0,22.42,14.15,30.56,77.19,0.09,100.12,460.2,2314889,18.7,74.66,1,4.04,99,203.710232,1519.261651,0.90 ,5.5,52,1167.789178,76.96022627,824.2194475,,,,,,,,,,
Natore,25.6279,88.6332,January,1,2022,0,20.5,15.59,26.29,73.49,0.76,100.15,460.2,1774832,18.7,74.66,1,4,99,156.185216,1164.822242,0.90 ,5.5,52,1904.364965,125.5024121,1344.090757,,,,,,,,,,
Netrokona,23.5424,89.6309,January,1,2022,0,17.29,8.4,25.32,78.56,0.87,100.14,460.2,2317190,18.7,74.66,1,4.39,99,203.91272,1520.771797,0.90 ,5.5,52,2804.365101,184.814671,1979.306109,,,,,,,,,,
Nilphamari,23.5424,89.6309,January,1,2022,0,22.42,14.15,30.56,77.19,0.09,100.44,460.2,1907497,18.7,74.66,1,4.1,99,167.859736,1251.890281,0.90 ,5.5,52,1587.900399,104.646606,1120.731734,,,,,,,,,,
Noakhali,23.5424,89.6309,January,1,2022,0,20.5,15.59,26.29,73.49,0.76,100.89,460.2,3231832,18.7,74.66,1,4.64,99,284.401216,2121.051342,0.90 ,5.5,52,2678.48487,176.5188491,1890.460506,,,,,,,,,,
Pabna,22.9409,91.4067,January,1,2022,0,17.29,8.4,25.32,78.56,0.87,101.15,460.2,2624683,18.7,74.66,1,4,99,230.972104,1722.579453,0.90 ,5.5,52,2389.393133,157.4669809,1686.421081,,,,,,,,,,
Panchagarh,22.9409,91.4067,January,1,2022,0,22.42,14.15,30.56,77.19,0.09,101.26,460.2,1026139,18.7,74.66,1,4.1,99,90.300232,673.4550257,0.90 ,5.5,52,1363.120548,89.8330519,962.0832992,,,,,,,,,,
Patuakhali,22.9409,91.4067,January,1,2022,2,20.5,15.59,26.29,73.49,0.76,101.19,485.51,1596223,18.2,73.69,1.2,4.38,99,140.467624,1047.601155,0.90 ,5.5,52,2617.407817,172.4937186,1847.352643,,,,,,,,,,
Pirojpur,25.3297,89.543,January,1,2022,1,17.29,8.4,25.32,78.56,0.87,101.04,485.51,1157215,18.2,73.69,1.2,4.38,99,101.83492,759.4802045,0.90 ,5.5,52,1269.846388,83.68605154,896.2508884,,,,,,,,,,
Rajbari,25.3297,89.543,January,1,2022,0,22.42,14.15,30.56,77.19,0.09,100.64,485.51,1091263,18.2,73.69,1.2,4.04,99,96.031144,716.1959069,0.90 ,5.5,52,1139.236341,75.07852297,804.067006,,,,,,,,,,
Rajshahi,25.3297,89.543,January,1,2022,0,20.5,15.59,26.29,73.49,0.76,100.51,485.51,2699688,18.2,73.69,1.2,4,99,237.572544,1771.805234,0.90 ,5.5,52,2438.427587,160.698474,1721.02934,,,,,,,,,,
