District,Latitude,Longitude,Year,Yearly_cases,DENV1 ,DENV2,DENV3,DENV4,X11,X12,X13,X14,X15,X16,X17,X18,X19,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,,,,,,,,
Kurigram,25.8072,89.6295,2017,1,0.48,0.76,0,0,25.19,5.55,38.28,76.25,2773.83,0.01,293.75,2150974,23.1,72.9,1.1,3.87,88,182.83279,1153.352259,0.85,3,48,2275.723926,149.975896,1606.193954,,,,,,,,
Kushtia,23.8907,89.1099,2017,5,2.4,3.8,0,0,25.56,5.95,39.17,76.81,3079.69,0.05,293.75,2023657,23.1,72.9,1.1,3.74,88,172.010845,1085.084883,0.85,3,48,1614.728397,106.4146382,1139.666793,,,,,,,,
Lakshmipur,22.9447,90.8282,2017,0,0,0,0,0,25.26,7.89,33.77,82.62,5637.3,0.02,293.75,1797761,23.1,72.9,1.1,4.47,88,152.809685,963.9594482,0.85,3,48,1243.732495,81.96508074,877.8198407,,,,,,,,
Lalmonirhat,25.9923,89.2847,2017,0,0,0,0,0,25.19,5.55,38.28,76.25,2773.83,0.01,293.75,1305248,23.1,72.9,1.1,3.87,88,110.94608,699.8739776,0.85,3,48,1274.913778,84.02000521,899.8274255,,,,,,,,
Madaripur,23.2393,90.187,2017,4,1.92,3.04,0,0,25.31,6.05,36.62,80.44,4419.14,0.1,293.75,1212199,23.1,72.9,1.1,3.87,88,103.036915,649.9811038,0.85,3,48,1135.273595,74.81736807,801.2701204,,,,,,,,
Magura,23.429,89.4364,2017,0,0,0,0,0,25.55,5.72,39.94,77.25,3174.61,0.05,293.75,954804,23.1,72.9,1.1,3.74,88,81.15834,511.9659048,0.85,3,48,1048.764435,69.11619818,740.2124115,,,,,,,,
Manikganj,23.8617,90.0003,2017,0,0,0,0,0,25.4,6.69,37,78.88,4071.09,0.05,293.75,1447301,23.1,72.9,1.1,3.87,88,123.020585,776.0427962,0.85,3,48,1374.276723,90.56827174,969.957269,,,,,,,,
Meherpur,23.8052,88.6724,2017,0,0,0,0,0,25.01,8.18,34.05,82.12,6164.65,0.02,293.75,1994252,23.1,72.9,1.1,3.74,88,169.51142,1069.317922,0.85,3,48,2678.809912,176.5402702,1890.689918,,,,,,,,
Moulvibazar,24.3095,91.7315,2017,0,0,0,0,0,25.73,5.27,41.37,74,2130.47,0.01,293.75,681331,23.1,72.9,1.1,4.94,88,57.913135,365.3296822,0.85,3,48,722.524676,47.61618245,509.9541086,,,,,,,,
Munshiganj,23.4981,90.4127,2017,0,0,0,0,0,25.24,7.28,34.21,81.62,4904.3,0.04,293.75,1502449,23.1,72.9,1.1,3.87,88,127.708165,805.6131538,0.85,3,48,932.678817,61.46586572,658.2797938,,,,,,,,
Mymensingh,24.7539,90.4073,2017,7,3.36,5.32,0,0,24.98,7.97,33.83,79.88,5400,0.02,293.75,5313163,23.1,72.9,1.1,3.85,88,451.618855,2848.918001,0.85,3,48,4348.480093,286.5757092,3069.134333,,,,,,,,
Naogaon,24.9132,88.7531,2017,1,0.48,0.76,0,0,25.37,4.03,40.59,74.56,1956.45,0.04,293.75,2701906,23.1,72.9,1.1,3.76,88,229.66201,1448.761997,0.85,3,48,3443.903078,226.9618225,2430.688643,,,,,,,,
Narail,23.1163,89.584,2017,2,0.96,1.52,0,0,25.55,5.42,39.69,77.88,3448.83,0.01,293.75,750425,23.1,72.9,1.1,3.74,88,63.786125,402.377885,0.85,3,48,995.7435635,65.62199017,702.7905595,,,,,,,,
Narayanganj,23.7147,90.5636,2017,4,1.92,3.04,0,0,25.24,7.28,34.21,81.62,4904.3,0.04,293.75,3074078,23.1,72.9,1.1,3.87,88,261.29663,1648.320624,0.85,3,48,703.5466906,46.36548576,496.5595465,,,,,,,,
