d,Months,Months,Cases,Deaths,T2M,T2M_MIN,T2M_MAX,RH2M,PRECTOTCORR,PS,WS50_MAX,Pd,GDP,GNI,PHR,ALR,UnE,EA,PG,FR,AGR,AL,,,,,,,,,,,,,,,
2005,11,Nov,187,2,21.38,12.8,28.77,82.5,0.13,101.2,7.47,1068,69.44,550,40,53.5,4.3,44.2,1.5,14.63,71.53,60.77,,,,,,,,,,,,,,,
2005,12,Dec,19,0,18.12,10.67,26.22,81.62,0.03,101.31,8,1068,69.44,550,40,53.5,4.3,44.2,1.5,14.63,71.53,60.77,,,,,,,,,,,,,,,
2006,1,Jan,0,0,17.26,8.74,27.46,70.44,0,101.38,8.82,1083,71.82,570,39.1,53.7,3.6,50.5,1.3,14.61,71.29,60.54,,,,,,,,,,,,,,,
2006,2,Feb,0,0,23.66,13.93,36.3,61.31,0.09,101.14,9.5,1083,71.82,570,39.1,53.7,3.6,50.5,1.3,14.61,71.29,60.54,,,,,,,,,,,,,,,
2006,3,Mar,0,0,27.67,17.12,39.43,46.06,0.05,100.89,8.15,1083,71.82,570,39.1,53.7,3.6,50.5,1.3,14.61,71.29,60.54,,,,,,,,,,,,,,,
2006,4,Apr,0,0,30.10,21.85,39.03,61.88,4.16,100.59,10.23,1083,71.82,570,39.1,53.7,3.6,50.5,1.3,14.61,71.29,60.54,,,,,,,,,,,,,,,
2006,5,May,0,0,29.97,23.08,39.56,72,9.98,100.38,10.59,1083,71.82,570,39.1,53.7,3.6,50.5,1.3,14.61,71.29,60.54,,,,,,,,,,,,,,,
2006,6,Jun,100,1,28.42,25.6,32.92,89.06,9.83,100.15,12.65,1083,71.82,570,39.1,53.7,3.6,50.5,1.3,14.61,71.29,60.54,,,,,,,,,,,,,,,
2006,7,Jul,972,1,28.36,25.22,33.1,89.5,8.62,99.92,11.02,1083,71.82,570,39.1,53.7,3.6,50.5,1.3,14.61,71.29,60.54,,,,,,,,,,,,,,,
2006,8,Aug,680,1,27.81,24.16,32.44,89,7.26,100.13,11.11,1083,71.82,570,39.1,53.7,3.6,50.5,1.3,14.61,71.29,60.54,,,,,,,,,,,,,,,
2006,9,Sep,211,6,27.62,23.91,32.7,88.25,13.57,100.51,12.98,1083,71.82,570,39.1,53.7,3.6,50.5,1.3,14.61,71.29,60.54,,,,,,,,,,,,,,,
2006,10,Oct,145,1,26.33,18.05,32.37,82.56,2,101.02,6.98,1083,71.82,570,39.1,53.7,3.6,50.5,1.3,14.61,71.29,60.54,,,,,,,,,,,,,,,
2006,11,Nov,92,1,22.39,12.16,30.05,76.94,0.1,101.25,6.41,1083,71.82,570,39.1,53.7,3.6,50.5,1.3,14.61,71.29,60.54,,,,,,,,,,,,,,,
2006,12,Dec,0,0,19.26,10.76,27.73,71,0.01,101.46,8.38,1083,71.82,570,39.1,53.7,3.6,50.5,1.3,14.61,71.29,60.54,,,,,,,,,,,,,,,
2007,1,Jan,0,0,17.56,9.01,29.18,59.62,0,101.55,8.61,1096,79.61,610,38.2,56.3,4.1,46.5,1.2,14.58,71.18,60.04,,,,,,,,,,,,,,,
2007,2,Feb,0,0,21.48,12.3,30.44,61.38,1.8,101.29,8.84,1096,79.61,610,38.2,56.3,4.1,46.5,1.2,14.58,71.18,60.04,,,,,,,,,,,,,,,
2007,3,Mar,0,0,25.91,14.47,37.48,45.88,0.19,100.99,8.96,1096,79.61,610,38.2,56.3,4.1,46.5,1.2,14.58,71.18,60.04,,,,,,,,,,,,,,,
2007,4,Apr,0,0,29.33,22.8,38.89,65.94,6.02,100.73,10.38,1096,79.61,610,38.2,56.3,4.1,46.5,1.2,14.58,71.18,60.04,,,,,,,,,,,,,,,
2007,5,May,0,0,29.51,23.44,37.87,74.44,6.39,100.31,10.58,1096,79.61,610,38.2,56.3,4.1,46.5,1.2,14.58,71.18,60.04,,,,,,,,,,,,,,,
2007,6,Jun,0,0,28.42,25.49,33.45,89.25,17.91,100.12,10.76,1096,79.61,610,38.2,56.3,4.1,46.5,1.2,14.58,71.18,60.04,,,,,,,,,,,,,,,
2007,7,Jul,85,0,28.09,25.35,33.15,91,22.63,100.01,12.77,1096,79.61,610,38.2,56.3,4.1,46.5,1.2,14.58,71.18,60.04,,,,,,,,,,,,,,,
2007,8,Aug,179,0,28.20,24.81,33.69,89.44,8.79,100.07,12.89,1096,79.61,610,38.2,56.3,4.1,46.5,1.2,14.58,71.18,60.04,,,,,,,,,,,,,,,
2007,9,Sep,163,0,27.44,23.91,32.15,89.75,7.61,100.32,14.98,1096,79.61,610,38.2,56.3,4.1,46.5,1.2,14.58,71.18,60.04,,,,,,,,,,,,,,,
2007,10,Oct,39,0,25.57,17.53,32.03,85.69,9.76,100.78,9.68,1096,79.61,610,38.2,56.3,4.1,46.5,1.2,14.58,71.18,60.04,,,,,,,,,,,,,,,
2007,11,Nov,0,0,22.54,15.17,29.07,84.12,2.59,101.14,14.18,1096,79.61,610,38.2,56.3,4.1,46.5,1.2,14.58,71.18,60.04,,,,,,,,,,,,,,,
2007,12,Dec,0,0,17.42,9.48,26.04,80.5,0,101.35,7.26,1096,79.61,610,38.2,56.3,4.1,46.5,1.2,14.58,71.18,60.04,,,,,,,,,,,,,,,
